title,phone,website,address,hours,url
Columbus Café,+33144516000,https://www.columbuscafe.com/boutique/carcassonne-6-place-carnot/,"6 Place Carnot, 11000 Carcassonne, France",{'Tous les jours': '8:00  –  19:00'},https://maps.apple.com/place?auid=1772021532343283718
Columbus Café,+33344936643,https://www.columbuscafe.com/boutique/compiegne-rue-jean-legendre/,"9 Rue Jean Legendre, 60200 Compiègne, France","{'Lun. – Sam.': '7:30  –  19:00', 'Dimanche': '10:00  –  18:00'}",https://maps.apple.com/place?auid=6582174721458909452
Columbus Café,+33243779972,http://www.columbuscafe.com,"1 Avenue du Mans, 72650 La Chapelle-Saint-Aubin, France",{'Tous les jours': '8:00  –  20:00'},https://maps.apple.com/place?auid=12356356887978906658
Columbus Café,+33470989932,https://www.columbuscafe.com/boutique/vichy-rue-sornin/,"23 Rue Sornin, 03200 Vichy, France","{'Lun. – Sam.': '8:00  –  19:00', 'Dimanche': '10:00  –  19:00'}",https://maps.apple.com/place?auid=9849754808343184983
Columbus Café,+33493725935,https://www.columbuscafe.com/boutique/nice-galerie-le-ray/,"52 Boulevard Gorbella, 06100 Nice, France","{'Lun. – Sam.': '8:00  –  20:00', 'Dimanche': '8:00  –  13:00'}",https://maps.apple.com/place?auid=2353019926327392300
Columbus Café,+33144516000,https://www.columbuscafe.com/boutique/moulins-66-place-dallier/,"66 Place d'Allier, 03000 Moulins, France","{'Lun. – Ven.': '7:30  –  19:00', 'Samedi': '8:00  –  19:00', 'Dimanche': '8:00  –  18:00'}",https://maps.apple.com/place?auid=12620543407755897896
Columbus Café,+33144516000,https://www.columbuscafe.com/boutique/nice-centre-ville/,"16 Boulevard Jean Jaurès, 06300 Nice, France","{'Lun. – Sam.': '7:30  –  19:30', 'Dimanche': '8:30  –  18:30'}",https://maps.apple.com/place?auid=16620971007152596252
Columbus Café,+33144516000,https://www.columbuscafe.com/boutique/rosny-sous-bois-rue-de-lisbonne/,"7 Rue de Lisbonne, 93110 Rosny-sous-Bois, France",{'Tous les jours': '7:00  –  19:00'},https://maps.apple.com/place?auid=13987233409756499718
Columbus Café,+33144516000,https://www.columbuscafe.com/boutique/cambrai-avenue-georges-nuttin/,"2 Avenue Georges Nuttin, 59400 Cambrai, France",{'Lun. – Sam.': '8:30  –  19:30'},https://maps.apple.com/place?auid=12579464028095462005
Columbus Café,+33238478303,http://www.columbuscafe.com,"181 Rue d'Artois, 45160 Olivet, France",{'Lun. – Sam.': '8:30  –  19:30'},https://maps.apple.com/place?auid=13406359580036114105
