title,address,phone,link,url,hours,rating,owners_count,reviews
McDonald's,"Aire d'Ambrussum Sud Autoroute, A9, 34400 Villetelle, France",+33 4 99 54 65 89,http://www.restaurants.mcdonalds.fr/mcdonalds-a9-montpellier-ambrussum,https://www.google.com/search?q=A9-MONTPELLIER-AMBRUSSUM-McDonald%27s-Aire-D%27ambrussum-Sud,"{'lundi': '10:00–22:00', 'mardi': '10:00–22:00', 'mercredi': '10:00–22:00', 'jeudi': '10:00–22:00', 'vendredi': '10:00–22:00', 'samedi': '10:00–22:00', 'dimanche': '10:00–22:00'}","3,4",,4930
McDonald's,"1 Av. Robert Schuman, 80100 Abbeville, France",+33 3 22 24 47 48,http://www.restaurants.mcdonalds.fr/mcdonalds-abbeville,https://www.google.com/search?q=ABBEVILLE-McDonald%27s-Route-D%27amiens-Angle-Avenue-Robert-Schuman,"{'lundi': '08:30–23:00', 'mardi': '08:30–23:00', 'mercredi': '08:30–23:00', 'jeudi': '08:30–23:00', 'vendredi': '08:30–23:30', 'samedi': '08:30–23:30', 'dimanche': '08:30–23:00'}","2,9",,3171
McDonald's,"ZA, Rue Antonins, 78660 Ablis, France",+33 1 30 46 22 30,http://www.restaurants.mcdonalds.fr/mcdonalds-ablis,https://www.google.com/search?q=ABLIS-McDonald%27s-Za,"{'lundi': '09:00–22:30', 'mardi': '09:00–22:30', 'mercredi': '09:00–22:30', 'jeudi': '09:00–22:30', 'vendredi': '09:00–22:30', 'samedi': '09:00–22:30', 'dimanche': '09:00–22:30'}","3,3",,1868
McDonald's,"Avenue Wolfgang Amadeus Mozart ZAC du chemin neuf - Centre Commercial E.Leclerc, 78260 Achères, France",+33 1 39 11 61 68,http://www.restaurants.mcdonalds.fr/mcdonalds-acheres,https://www.google.com/search?q=ACHERES-McDonald%27s-Zac-Du-Chemin-Neuf-Centre-Commercial-E.leclerc-Avenue-W.a-Mozart,"{'lundi': '10:00–23:30', 'mardi': '10:00–23:30', 'mercredi': '10:00–23:30', 'jeudi': '10:00–23:30', 'vendredi': '10:00–23:30', 'samedi': '10:00–23:30', 'dimanche': '10:00–23:30'}","3,5",,1485
McDonald's,"Parking But, Bd du Soleil, 34300 Agde, France",+33 4 67 94 25 75,http://www.restaurants.mcdonalds.fr/mcdonalds-agde,https://www.google.com/search?q=AGDE-McDonald%27s-Boulevard-Du-Soleilparking-But,"{'lundi': '10:00–22:00', 'mardi': '10:00–22:00', 'mercredi': '10:00–22:00', 'jeudi': '10:00–22:00', 'vendredi': '10:00–22:00', 'samedi': '10:00–22:00', 'dimanche': '10:00–22:00'}","2,6",,2417
McDonald's,"Centre Commercial - Hyper U Grand Cap, Rue du Grand Cap, 34300 Agde, France",+33 4 67 01 42 64,http://www.restaurants.mcdonalds.fr/mcdonalds-agde-cayret,https://www.google.com/search?q=AGDE-CAYRET-McDonald%27s-Rue-Du-Grand-Capc.cial-Hyper-U-Grand-Cap,"{'lundi': '10:00–00:00', 'mardi': '10:00–00:00', 'mercredi': '10:00–00:00', 'jeudi': '10:00–00:00', 'vendredi': '10:00–00:00', 'samedi': '10:00–00:00', 'dimanche': '10:00–00:00'}","2,8",,3180
McDonald's Agen Pin,"Place du Pin, 47000 Agen, France",+33 5 53 47 35 82,http://www.restaurants.mcdonalds.fr/mcdonalds-agen-place-du-pin,https://www.google.com/search?q=AGEN-PLACE-DU-PIN-McDonald%27s-Place-Du-Pin,"{'lundi': '09:00–23:00', 'mardi': '09:00–23:00', 'mercredi': '09:00–23:00', 'jeudi': '09:00–23:00', 'vendredi': '09:00–23:00', 'samedi': '09:00–23:00', 'dimanche': '09:00–23:00'}","3,4",,1991
McDonald's Agen Sud,"ZAC Agen Sud, Giratoire Saint Jacques, Av. André Tissidre, 47000 Agen, France",+33 5 53 98 10 99,http://www.restaurants.mcdonalds.fr/mcdonalds-agen-sud,https://www.google.com/search?q=AGEN-SUD-McDonald%27s-Avenue-Du-Midi,"{'lundi': '10:00–23:00', 'mardi': '10:00–23:00', 'mercredi': '10:00–23:00', 'jeudi': '10:00–23:00', 'vendredi': '10:00–00:00', 'samedi': '10:00–00:00', 'dimanche': '10:00–23:00'}","3,5",,2348
McDonald's,"Avenue Charles De Gaulle Route des plages, 30470 Aimargues, France",+33 4 66 88 13 71,http://www.restaurants.mcdonalds.fr/mcdonalds-aimargues,https://www.google.com/search?q=AIMARGUES-McDonald%27s-Av.-Charles-De-Gaulle-Route-Des-Plages,"{'lundi': '10:00–23:00', 'mardi': '10:00–23:00', 'mercredi': '10:00–23:00', 'jeudi': '10:00–23:00', 'vendredi': '10:00–00:00', 'samedi': '10:00–00:00', 'dimanche': '10:00–23:00'}","2,7",,2491
,,,,https://www.google.com/search?q=AIRE-DE-BOSGOUET-SUD-ORIGINAL%27S-AREAS-McDonald%27s-Aire-De-Bosgouet-Sud,{},,,
,,,,https://www.google.com/search?q=AIRE-DE-FRONTONNAIS-NORD-AREAS-McDonald%27s-Route-De-Fronton,{},,,
,"Aire de service de La Lozère, A75, 48200 Les Monts-Verts, France",+33 4 66 31 94 06,,https://www.google.com/search?q=AIRE-DE-LA-LOZERE-McDonald%27s-Aire-De-La-Loz%C3%A8re-Aire-La-Garde,"{'lundi': '06:30–22:00', 'mardi': '06:30–22:00', 'mercredi': '06:30–22:00', 'jeudi': '06:30–22:00', 'vendredi': '06:30–22:00', 'samedi': '06:30–22:00', 'dimanche': '06:30–22:00'}","3,9",,3617
Aire de Vémars Ouest,"Km 26, A. du N, 95470 Vémars, France",+33 9 70 80 87 09,https://www.autoroutes.sanef.com/fr/mon-voyage/aires-autoroute,https://www.google.com/search?q=AIRE-DE-VEMARS-OUEST-AUTOGRILL-McDonald%27s-Aire-De-V%C3%A9mars-Ouest,"{'lundi': 'Ouvert 24h/24', 'mardi': 'Ouvert 24h/24', 'mercredi': 'Ouvert 24h/24', 'jeudi': 'Ouvert 24h/24', 'vendredi': 'Ouvert 24h/24', 'samedi': 'Ouvert 24h/24', 'dimanche': 'Ouvert 24h/24'}","3,7",,3279
