title,address,phone,url,source_url,hours,id,rating,owners_count,reviews,description_status,description_text
Panos Aéroport Charleroi,"Rue des Frères Wright 8/12, 6041 Charleroi, Belgique",,https://www.panos.be/fr/magasin/panos-airport-charleroi-gosselies-23144,https://www.google.com/search?q=Panos+A%C3%A9roport+Charleroi&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzYysjRNNjSwNEgxMDe2MqgwTkq0SDFMSTM0SU0zMTY1XcQqGZCYl1-s4Hh4ZVF-QX5RiYJzRmJRTmpRfiYATTywSEUAAAA&hl=fr&mat=CXixiHqM0iTjElcBqiIDwi3x3Kfk0lUcxptG_m5C1YI2-3JyIarPz1qFWWBWNJddLrlJBUU_ln7lazo6zvOIfIMomjatwfWTZ0hgkovkTwS-BXBqoUSyR6ruhVx6cavlbGM&authuser=0,"{'mardi': '04:30–21:00', 'mercredi': '04:30–21:00', 'jeudi': '04:30–21:00', 'vendredi': '04:30–21:00', 'samedi': '04:30–21:00', 'dimanche': '04:30–21:00', 'lundi': '04:30–21:00'}",23144,"2,3",,180,NOK,
Panos Bobbejaanland,"Olensteenweg 45, 2460 Kasterlee, Belgique",,https://www.panos.be/nl/winkel/panos-bobbejaanland-kasterlee-23297,https://www.google.com/search?q=Panos+Bobbejaanland&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzY0SUlKSTU1SbNIs7C0MqhITTRPMkm1NEhJMzM0Njc2WMQqHJCYl1-s4JSflJSalZiYl5OYlwIAFvcc4z8AAAA&hl=fr&mat=CQ1bCR7jo9SCElcBqiIDwmSWLn3L0H-DZoi4cduCKHN3No-0DYe-KyZipMrg7uZ5gH486bqFKhmWDV8Ox_yhJ8BH0Lw0a45fLwxpGRbLJFCPAr-4EDBaSGd3SicgqflyZTA&authuser=0,"{'mardi': '10:00–17:00', 'mercredi': '10:00–17:00', 'jeudi': '10:00–17:00', 'vendredi': '10:00–17:00', 'samedi': '10:00–17:00', 'dimanche': '10:00–17:00', 'lundi': '10:00–17:00'}",23297,"2,8",,6,OK,
Panos Brussels Airport - Terminal A,"Luchthaven Brussel Nationaal 41, 1930 Zaventem, Belgique",,,https://www.google.com/search?q=Panos+Brussels+Airport+-+Terminal+A&stick=H4sIAAAAAAAA_-NgU1IxqDAxTzZOSTEwMjE0Nks1TDO3MqiwtDBPNrc0TExNSzJJMzVbxKockJiXX6zgVFRaXJyaU6zgmFlUkF9UoqCrEJJalJuZl5ij4AgA2F26X04AAAA&hl=fr&mat=CXXNli40vKCXElYBqiIDwma1qPyS0yvAzA-vbj0Z1fnBX-0NhDEy2w05Ob5iUnzp1blaMSqiCrEThJE9Eks-4LP5WN3bTnkOPPYBONcZgugXVrm0mXoTBBbND5DHTy1pBw&authuser=0,"{'mardi': '04:00–20:30', 'mercredi': '04:00–20:30', 'jeudi': '04:00–20:30', 'vendredi': '04:00–20:30', 'samedi': '04:00–20:30', 'dimanche': '04:00–20:30', 'lundi': '04:00–20:30'}",23734,"1,5",,82,NOK,
Panos City Aalst,"Nieuwstraat 40, 9300 Aalst, Belgique",+32 53 78 30 21,https://www.panos.be/nl/winkel/panos-city-aalst-23202,https://www.google.com/search?q=Panos+City+Aalst&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzZOSjG1TEuxMDW1TDW3MqhITE5JNU00MEw1TzYxM09LXsQqEJCYl1-s4JxZUqngmJhTXAIAV-qaSzwAAAA&hl=fr&mat=Cey1RJG_4CShElUBqiIDwsfZX8-sGyS19kDWXcnCJcRZtazrWiHBllTc0lKZsm0cabd5dMMqxVEk_y30mz2OYj21O7dAIm24gqBTjTW3btZW8PQRkMz_9MePnhK94_XI&authuser=0,"{'mardi': '07:30–17:30', 'mercredi': '07:30–17:30', 'jeudi': '07:30–17:30', 'vendredi': '07:30–17:30', 'samedi': '07:00–17:30', 'dimanche': 'Fermé', 'lundi': '07:30–17:30'}",23202,"4,0",,59,OK,
Panos City Aarschot,"Th. De Beckerstraat 4, 3200 Aarschot, Belgique",+32 16 69 50 55,https://www.panos.be/nl/winkel/panos-city-aarschot-23089,https://www.google.com/search?q=Panos+City+Aarschot&stick=H4sIAAAAAAAA_-NgU1I1qDAxTzY0MTZJMTcwMkkxSU2xMqhISbFISzEyT7Q0NUs1MUk2XcQqHJCYl1-s4JxZUqngmFhUnJyRXwIA6eDxxD8AAAA&hl=fr&mat=CUtFwN9tbzcTElcBqiIDwkpDiSGdd3NvKwdGmvWr16eGFrQVj14Q8xBj-4tethl9MflLjpXj-C4GzjDCotScKiP8W2kC6_Z8NRlfIfXhKAoePuZ1hNOSYbbMDQ9U0rOIhNI&authuser=0,"{'mardi': '07:00–17:00', 'mercredi': '07:00–17:00', 'jeudi': '07:00–17:00', 'vendredi': '07:00–17:00', 'samedi': '07:30–17:00', 'dimanche': 'Fermé', 'lundi': '07:00–17:00'}",23089,"4,1",,216,OK,
Panos City Anderlecht,"Rue Wayez 130, 1070 Anderlecht, Belgique",+32 2 521 56 23,https://www.panos.be/fr/magasin/panos-city-anderlecht-23060,https://www.google.com/search?q=panos-city-anderlecht-Wayezstraat,"{'mardi': '07:00–17:00', 'mercredi': '07:00–17:00', 'jeudi': '07:00–17:00', 'vendredi': '07:00–17:00', 'samedi': '08:00–17:00', 'dimanche': 'Fermé', 'lundi': '07:00–17:00'}",23060,"3,8",,214,OK,
Panos City Antwerpen (Abdijstraat),"Abdijstraat 20, 2020 Antwerpen, Belgique",+32 3 238 11 98,https://www.panos.be/nl/winkel/panos-city-antwerpen-%28abdijstraat%29-23025,https://www.google.com/search?q=Panos+City+Antwerpen+(Abdijstraat)&stick=H4sIAAAAAAAA_-NgU1IxqDAxTzZOM0sySDZKtrBMNTe1MqiwSDG1MDUyT7VISTROTkpexKoUkJiXX6zgnFlSqeCYV1KeWlSQmqeg4ZiUkplVXFKUmFiiCQC9D47cTQAAAA&hl=fr&mat=CSRVY4Jnwn4WElcBqiIDwvZwLXpGqmtMMNK4Tr2u_qNYIxlqPNk2ri2spFvG-ouIt4sUe2bk8cvUMb53cUwkYFrMCo9NAQ5yFNjB5-h1GcmyTxu4FtW_GgctuhIovaB1jlc&authuser=0,"{'mardi': '07:00–18:00', 'mercredi': '07:00–18:00', 'jeudi': '07:00–18:00', 'vendredi': '07:00–18:00', 'samedi': '08:00–18:00', 'dimanche': 'Fermé', 'lundi': '07:00–18:00'}",23025,"3,9",,249,OK,
Panos City Antwerpen (Anselmostraat),"Anselmostraat 30A, 2018 Antwerpen, Belgique",+32 3 238 67 63,https://www.panos.be/nl/winkel/panos-city-antwerpen-%28anselmostraat%29-23016,https://www.google.com/search?q=panos-city-antwerpen-anselmostraat-Anselmostraat,"{'mardi': '07:00–18:00', 'mercredi': '07:00–18:00', 'jeudi': '07:00–18:00', 'vendredi': '07:00–18:00', 'samedi': '08:00–14:00', 'dimanche': 'Fermé', 'lundi': '07:00–18:00'}",23016,"4,1",,219,OK,
Panos City Antwerpen (Brederodestraat),"Brederodestraat 184B, 2018 Antwerpen, Belgique",+32 3 284 54 40,https://www.panos.be/nl/winkel/panos-city-antwerpen-%28brederodestraat%29-23944,https://www.google.com/search?q=panos-city-antwerpen-brederodestraat-Brederodestraat,"{'mardi': '07:00–18:00', 'mercredi': '07:00–18:00', 'jeudi': '07:00–18:00', 'vendredi': '07:00–18:00', 'samedi': '08:00–16:00', 'dimanche': 'Fermé', 'lundi': '07:00–18:00'}",23944,"4,0",,67,NOK,
Panos City Antwerpen (De Keyserlei),"De Keyserlei 16, 2018 Antwerpen, Belgique",+32 3 707 23 65,https://www.panos.be/nl/winkel/panos-city-antwerpen-%28de-keyserlei%29-23063,https://www.google.com/search?q=panos-city-antwerpen-de-keyserlei-De-Keyserlei,"{'mardi': '06:30–19:00', 'mercredi': '06:30–19:00', 'jeudi': '06:30–19:00', 'vendredi': '06:30–19:00', 'samedi': '07:00–19:30', 'dimanche': '07:30–18:30', 'lundi': '06:30–19:00'}",23063,"3,8",,926,OK,
